gp,breidd,lengd,nafn,region,ref,link
1,662718.73,222410.19,Horn I,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
2,660804.64,201048.81,Ásbúðarrif,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
3,661204.58,185130,Siglunes,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
4,661020.57,175114.76,Flatey,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
5,661759.3300000001,170702.91999999998,Lágey,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
6,663037.6699999999,163238.58,Rauðinúpur,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
7,663226.03,161147.3,Rifstangi,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
8,663216.91,160152.44999999998,Hraunhafnartangi I,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
9,663215.98,160131.31999999998,Hraunhafnartangi II,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
10,663214.74,160118.66,Hraunhafnartangi III,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
11,662242.72,143147.69,Langanes,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
12,653039.8,133616.23,Glettinganes,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
13,650958.4500000001,133037.83,Norðfjarðarhorn,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
14,650437.5,132934.21000000002,Gerpir,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
15,645854.9,133046.4,Hólmur,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
16,645741.21,133133.17,Setusker,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
17,645404.8,133651.97999999998,Þursasker,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
18,643506.16,140135.91999999998,Ystiboði,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
19,643245.47,140656.14,Selsker,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
20,642345.6699999999,142732.81,Hvítingar,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
21,641423.41,145737.97999999998,Stokksnes I,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
22,641408.11,145822.2,Stokksnes II,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
23,640139.04,155837.16,Hrollaugseyjar,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
24,635545.1799999999,161100.17,Tvísker,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
25,634750.65,163822.59,Ingólfshöfði,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
26,634331.09,173732.76,Hvalsíki,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
27,633223.47,175514.65,Meðallandssandur I,mainland,Lög 1979_0041,https://www.althingi.is/lagas/nuna/1979041.html
