gr,gr2,name,breidd,lengd
1,A,Út af Reynisdjúpi,631390,184400
1,A,Út af Reynisdjúpi,631390,184660
1,A,Út af Reynisdjúpi,631510,185000
1,A,Út af Reynisdjúpi,631430,185300
1,A,Út af Reynisdjúpi,631370,184970
1,A,Út af Reynisdjúpi,631340,184430
1,A,Út af Reynisdjúpi,631390,184400
2,B,Í Skaftárdjúpi,631140,175700
2,B,Í Skaftárdjúpi,631110,175700
2,B,Í Skaftárdjúpi,631110,175340
2,B,Í Skaftárdjúpi,631260,174670
2,B,Í Skaftárdjúpi,631260,175000
2,B,Í Skaftárdjúpi,631140,175450
2,B,Í Skaftárdjúpi,631140,175700
3,C,Í Skaftárdjúpi,631100,180000
3,C,Í Skaftárdjúpi,631045,180000
3,C,Í Skaftárdjúpi,631030,175200
3,C,Í Skaftárdjúpi,631280,173800
3,C,Í Skaftárdjúpi,631340,173800
3,C,Í Skaftárdjúpi,631080,175400
3,C,Í Skaftárdjúpi,631100,180000
4,D,Í Skeiðarárdýpi,631625,170952
4,D,Í Skeiðarárdýpi,631511,170905
4,D,Í Skeiðarárdýpi,631733,165807
4,D,Í Skeiðarárdýpi,631731,165519
4,D,Í Skeiðarárdýpi,631748,165038
4,D,Í Skeiðarárdýpi,631826,164733
4,D,Í Skeiðarárdýpi,632016,164800
4,D,Í Skeiðarárdýpi,632009,165530
4,D,Í Skeiðarárdýpi,631801,170155
4,D,Í Skeiðarárdýpi,631625,170952
5,E,Við Hornafjarðardjúp,633627,144852
5,E,Við Hornafjarðardjúp,633670,144250
5,E,Við Hornafjarðardjúp,633754,144175
5,E,Við Hornafjarðardjúp,633722,144750
5,E,Við Hornafjarðardjúp,633666,144852
5,E,Við Hornafjarðardjúp,633627,144852
5,F,Við Hornafjarðardjúp,633700,143300
5,F,Við Hornafjarðardjúp,633500,143900
5,F,Við Hornafjarðardjúp,633500,145000
5,F,Við Hornafjarðardjúp,633570,145000
5,F,Við Hornafjarðardjúp,633570,144500
5,F,Við Hornafjarðardjúp,633700,143930
5,F,Við Hornafjarðardjúp,633800,143600
5,F,Við Hornafjarðardjúp,633700,143300
6,G,Í Lónsdýpi,635653,140029
6,G,Í Lónsdýpi,635556,135845
6,G,Í Lónsdýpi,635246,135448
6,G,Í Lónsdýpi,634945,140444
6,G,Í Lónsdýpi,635420,140741
6,G,Í Lónsdýpi,635653,140029
7,H,Út af Lónsdýpi,634654,140454
7,H,Út af Lónsdýpi,634705,135905
7,H,Út af Lónsdýpi,634824,135126
7,H,Út af Lónsdýpi,634940,134915
7,H,Út af Lónsdýpi,635048,134807
7,H,Út af Lónsdýpi,635155,134634
7,H,Út af Lónsdýpi,635227,134532
7,H,Út af Lónsdýpi,635256,134501
7,H,Út af Lónsdýpi,635415,134259
7,H,Út af Lónsdýpi,635410,134024
7,H,Út af Lónsdýpi,634933,134333
7,H,Út af Lónsdýpi,634703,134806
7,H,Út af Lónsdýpi,634521,140330
7,H,Út af Lónsdýpi,634654,140454
8,I,Út af Papagrunni,635770,133350
8,I,Út af Papagrunni,635943,132712
8,I,Út af Papagrunni,635800,132540
8,I,Út af Papagrunni,635650,133020
8,I,Út af Papagrunni,635770,133350
9,J,Í Rósagarði,632835,131640
9,J,Í Rósagarði,632835,125860
9,J,Í Rósagarði,633250,125460
9,J,Í Rósagarði,633250,132050
9,J,Í Rósagarði,632580,132050
9,J,Í Rósagarði,632580,131890
9,J,Í Rósagarði,632835,131640
