gr,subset,subnr,breidd,lengd
2,1,1,641439,145784
2,1,2,641439,144868
2,1,3,641040,145730
2,1,4,640980,152700
2,1,5,640400,155400
2,1,6,635750,161000
2,1,7,634440,163430
2,1,8,634070,173070
2,1,9,632890,175050
2,1,10,632400,180660
2,1,11,631970,184260
2,1,12,631947,190000
2,1,13,632500,190000
2,2,1,640500,160600
2,2,2,640180,155900
2,2,3,640300,153900
2,2,4,641350,152900
2,3,1,634700,165400
2,3,2,633800,163500
2,3,3,634000,162500
2,3,4,634800,161100
2,3,5,635600,161100
2,3,6,640000,161700
2,4,1,633000,180200
2,4,2,633000,173000
2,4,3,634700,171500
2,5,1,641439,145784
2,5,2,641439,143037
2,5,3,640850,143400
2,5,4,640385,144425
2,5,5,635156,154420
2,5,6,633680,162770
2,5,7,633423,170000
2,5,8,631700,170000
2,5,9,631410,172493
2,5,10,631326,173595
2,5,11,631040,175400
2,5,12,631147,181023
2,5,13,631226,181792
2,5,14,631260,183000
2,5,15,631000,190000
2,5,16,632500,190000
3,1,1,632500,190000
3,1,2,631947,190000
3,1,3,631950,190750
3,1,4,632830,201090
3,1,5,633300,202700
3,1,6,633300,205000
3,1,7,634780,211600
3,1,8,634660,212350
3,1,9,634530,213910
3,1,10,634580,220420
3,1,11,634400,224190
3,1,12,634900,225332
3,1,13,635830,225457
3,1,14,640490,225260
3,1,15,643137,223147
3,1,16,643969,234817
3,1,17,644500,240463
3,1,18,645311,241203
3,1,19,645711,240266
3,1,20,645916,234769
3,1,21,652353,240612
3,1,22,652490,235714
3,2,1,632500,190000
3,2,2,631000,190000
3,2,3,630501,195207
3,2,4,631020,201280
3,2,5,630720,201570
3,2,6,630800,203280
3,2,7,630500,204950
3,2,8,631120,212780
3,2,9,631000,215170
3,2,10,630500,221500
3,2,11,630500,222750
3,2,12,631500,230050
3,2,13,631070,232400
3,2,14,631100,240550
3,2,15,633506,231306
3,2,16,633672,232284
3,2,17,633965,232855
3,2,18,644372,241283
3,2,19,644372,242557
3,2,20,651644,245128
3,2,21,652490,235714
5,A,1,634000,210000
5,A,2,633100,201000
5,A,3,632200,203000
5,A,4,632000,205000
5,B,1,640500,231500
5,B,2,640500,225400
5,B,3,635000,225300
5,B,4,635000,225700
5,B,5,640000,232000
5,C,1,651600,232700
5,C,2,651000,232700
5,C,3,650000,242000
5,C,4,650500,243700
7,A,1,625890,202200
7,A,2,630000,202700
7,A,3,625000,202700
7,A,4,625000,200000
7,A,5,630000,200000
7,B,1,610300,273900
7,B,2,610300,272800
7,B,3,605900,272800
8,1,1,650300,263500
8,1,2,651700,263500
8,1,3,651700,255000
8,1,4,651100,254200
8,1,5,650300,255000
