gr, breidd, lengd, nafn,gid1,allyear,d1,d2
2,663640,232200,Norður af Horni,TRUE,FALSE,2021-03-01,2021-08-17
2,664250,234250,Norður af Horni,TRUE,FALSE,2021-03-01,2021-08-17
2,665750,220000,Norður af Horni,TRUE,FALSE,2021-03-01,2021-08-17
2,670200,220000,Norður af Horni,TRUE,FALSE,2021-03-01,2021-08-17
2,670294,214500,Norður af Horni,TRUE,FALSE,2021-03-01,2021-08-17
2,662920,214500,Norður af Horni,TRUE,FALSE,2021-03-01,2021-08-17
3,663442,202050,Á Sporðagrunni,TRUE,TRUE,,
3,663844,201667,Á Sporðagrunni,TRUE,TRUE,,
3,664737,195294,Á Sporðagrunni,TRUE,TRUE,,
3,665160,192189,Á Sporðagrunni,TRUE,TRUE,,
3,663832,192468,Á Sporðagrunni,TRUE,TRUE,,
4,662210,193230,Norðan Haganesvíkur,TRUE,TRUE,,
4,662699,193294,Norðan Haganesvíkur,TRUE,TRUE,,
4,662948,185876,Norðan Haganesvíkur,TRUE,TRUE,,
4,662398,185378,Norðan Haganesvíkur,TRUE,TRUE,,
5,670700,172400,Á Sléttugrunni,TRUE,TRUE,,
5,670700,172000,Á Sléttugrunni,TRUE,TRUE,,
5,665100,170400,Á Sléttugrunni,TRUE,TRUE,,
5,665100,172000,Á Sléttugrunni,TRUE,TRUE,,
6,661200,134800,Á Digranesflaki,TRUE,TRUE,,
6,662300,125100,Á Digranesflaki,TRUE,TRUE,,
6,661400,124000,Á Digranesflaki,TRUE,TRUE,,
6,660300,123680,Á Digranesflaki,TRUE,TRUE,,
6,660000,125180,Á Digranesflaki,TRUE,TRUE,,
6,655900,133400,Á Digranesflaki,TRUE,TRUE,,
7,641460,141050,Í Lónsdýpi og á Stokksnesgrunni,TRUE,FALSE,2021-08-01,2021-12-31
7,635900,134700,Í Lónsdýpi og á Stokksnesgrunni,TRUE,FALSE,2021-08-01,2021-12-31
7,634730,140590,Í Lónsdýpi og á Stokksnesgrunni,TRUE,FALSE,2021-08-01,2021-12-31
7,633910,143210,Í Lónsdýpi og á Stokksnesgrunni,TRUE,FALSE,2021-08-01,2021-12-31
7,633560,144900,Í Lónsdýpi og á Stokksnesgrunni,TRUE,FALSE,2021-08-01,2021-12-31
7,633900,145870,Í Lónsdýpi og á Stokksnesgrunni,TRUE,FALSE,2021-08-01,2021-12-31
7,635000,145200,Í Lónsdýpi og á Stokksnesgrunni,TRUE,FALSE,2021-08-01,2021-12-31
7,635430,142440,Í Lónsdýpi og á Stokksnesgrunni,TRUE,FALSE,2021-08-01,2021-12-31
7,640450,144200,Í Lónsdýpi og á Stokksnesgrunni,TRUE,FALSE,2021-08-01,2021-12-31
8,635900,152400,Á Mýragrunni,TRUE,TRUE,,
8,635000,152400,Á Mýragrunni,TRUE,TRUE,,
8,635000,154700,Á Mýragrunni,TRUE,TRUE,,
8,635900,155700,Á Mýragrunni,TRUE,TRUE,,
9,635000,152400,Á Mýragrunni,TRUE,FALSE,2021-08-01,2021-12-31
9,633000,152600,Á Mýragrunni,TRUE,FALSE,2021-08-01,2021-12-31
9,632900,153500,Á Mýragrunni,TRUE,FALSE,2021-08-01,2021-12-31
9,634400,154600,Á Mýragrunni,TRUE,FALSE,2021-08-01,2021-12-31
9,635000,154700,Á Mýragrunni,TRUE,FALSE,2021-08-01,2021-12-31
10,634600,163300,Suður af Ingólfshöfða,TRUE,TRUE,,
10,633700,161700,Suður af Ingólfshöfða,TRUE,TRUE,,
10,633600,163700,Suður af Ingólfshöfða,TRUE,TRUE,,
10,633700,165500,Suður af Ingólfshöfða,TRUE,TRUE,,
10,634500,164700,Suður af Ingólfshöfða,TRUE,TRUE,,
11,632600,164100,Á Öræfagrunni,TRUE,FALSE,2021-08-01,2021-12-31
11,632900,160000,Á Öræfagrunni,TRUE,FALSE,2021-08-01,2021-12-31
11,632500,160000,Á Öræfagrunni,TRUE,FALSE,2021-08-01,2021-12-31
11,632200,163500,Á Öræfagrunni,TRUE,FALSE,2021-08-01,2021-12-31
12,633500,171900,Á Síðugrunni,TRUE,TRUE,,
12,632800,171900,Á Síðugrunni,TRUE,TRUE,,
12,632800,173800,Á Síðugrunni,TRUE,TRUE,,
12,633500,173800,Á Síðugrunni,TRUE,TRUE,,
13,632000,184900,Á Kötlugrunni,TRUE,TRUE,,
13,632400,180500,Á Kötlugrunni,TRUE,TRUE,,
13,631200,180500,Á Kötlugrunni,TRUE,TRUE,,
13,631500,184100,Á Kötlugrunni,TRUE,TRUE,,
